诊室,性别,态度
A诊室,男,反对
B诊室,女,反对
D诊室,女,反对
C诊室,男,反对
A诊室,男,赞成
D诊室,女,反对
B诊室,男,赞成
A诊室,女,反对
C诊室,男,赞成
D诊室,男,赞成
A诊室,女,反对
C诊室,男,反对
A诊室,男,赞成
B诊室,男,反对
D诊室,女,赞成
B诊室,男,反对
C诊室,女,反对
A诊室,女,赞成
B诊室,女,赞成
D诊室,男,赞成
A诊室,女,反对
D诊室,女,赞成
C诊室,男,赞成
A诊室,女,反对
B诊室,男,赞成
A诊室,女,反对
C诊室,女,赞成
D诊室,女,赞成
C诊室,男,反对
D诊室,女,赞成
B诊室,女,赞成
A诊室,女,反对
C诊室,男,赞成
B诊室,男,赞成
B诊室,女,赞成
A诊室,男,反对
B诊室,男,赞成
A诊室,女,赞成
C诊室,女,赞成
A诊室,男,赞成
B诊室,女,反对
D诊室,女,赞成
A诊室,男,反对
C诊室,男,赞成
A诊室,男,赞成
A诊室,女,赞成
C诊室,男,反对
D诊室,男,反对
A诊室,女,赞成
C诊室,男,反对
C诊室,男,赞成
A诊室,女,赞成
C诊室,女,赞成
B诊室,男,赞成
C诊室,女,赞成
A诊室,女,反对
B诊室,女,赞成
D诊室,男,反对
A诊室,男,赞成
B诊室,男,赞成
D诊室,女,反对
A诊室,女,赞成
D诊室,女,反对
C诊室,女,赞成
D诊室,女,赞成
C诊室,男,赞成
A诊室,女,赞成
B诊室,男,反对
A诊室,女,反对
C诊室,男,赞成
A诊室,女,赞成
A诊室,男,反对
C诊室,女,赞成
D诊室,女,赞成
B诊室,女,赞成
A诊室,女,反对
C诊室,男,赞成
B诊室,男,赞成
A诊室,女,赞成
C诊室,女,反对
